id;Municipio;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2
1059;Vitoria-Gasteiz;119853;13501;92161;14191
2003;Albacete;86881;11996;56210;18549
3009;Alcoy/Alcoi;33876;5890;20762;6406
3014;Alicante/Alacant;187658;37608;119585;28691
3031;Benidorm;60479;31453;24263;4603
3065;Elche/Elx;116080;17738;73758;24435
3066;Elda;27488;4226;17504;5050
3099;Orihuela;88508;33176;41750;13176
3122;San Vicente del Raspeig/Sant Vicent del Raspeig;27151;3807;18575;4702
3133;Torrevieja;122736;79926;37112;5162
4013;Almería;100957;27438;60058;13077
4079;Roquetas de Mar;62150;20395;33853;7744
4902;Ejido (El);40014;10733;22717;6254
5019;Ávila;34843;6611;22888;5284
6015;Badajoz;74594;12184;47059;15132
6083;Mérida;31358;5461;18798;6754
7011;Calvià;36492;12002;12803;10282
7026;Eivissa;23938;8191;12436;3193
7040;Palma;186482;45228;105354;34841
8015;Badalona;91915;36339;46987;7447
8019;Barcelona;808751;395237;332921;64688
8056;Castelldefels;28708;9011;14547;4406
8073;Cornellà de Llobregat;37034;20956;14997;1027
8096;Granollers;26298;6961;15500;3785
8101;Hospitalet de Llobregat (L');110488;79438;29218;1321
8113;Manresa;40136;9838;23835;6103
8121;Mataró;52996;15433;30280;6772
8124;Mollet del Vallès;20857;4752;14024;1901
8169;Prat de Llobregat (El);26518;11222;13083;2018
8184;Rubí;32476;8797;18122;5084
8187;Sabadell;92772;18397;55792;17980
8200;Sant Boi de Llobregat;33904;17617;13718;2494
8205;Sant Cugat del Vallès;35770;6464;18839;10377
8245;Santa Coloma de Gramenet;48100;29278;16925;1428
8266;Cerdanyola del Vallès;23858;6197;13562;3989
8279;Terrassa;101134;27336;54104;17017
8301;Viladecans;26586;7797;15958;2688
8307;Vilanova i la Geltrú;33155;8190;19001;5900
9059;Burgos;93766;27698;55908;9875
10037;Cáceres;53756;8322;33372;11881
11004;Algeciras;55815;12897;34521;8148
11012;Cádiz;56479;22165;27010;6739
11015;Chiclana de la Frontera;49229;12558;25128;11158
11020;Jerez de la Frontera;92974;17947;59557;15087
11022;Línea de la Concepción (La);30028;8142;17628;4085
