id,municipio,total,en_propiedad,en_alquiler,otro
01059,Vitoria-Gasteiz,107165,88571,16237,2357
02003,Albacete,66328,53566,8748,4014
03009,Alcoy/Alcoi,24615,19707,3171,1737
03014,Alicante/Alacant,135864,104009,21801,10054
03031,Benidorm,29550,18686,7773,3091
03065,Elche/Elx,88498,72774,10843,4881
03066,Elda,21028,17314,2232,1482
03099,Orihuela,31805,24763,4959,2083
03122,San Vicente del Raspeig/Sant Vicent del Raspeig,21721,17696,2577,1448
03133,Torrevieja,36829,25979,7622,3228
04013,Almería,75980,55531,12711,7738
04079,Roquetas de Mar,37295,25105,7488,4702
04902,Ejido (El),28813,21187,4640,2986
05019,Ávila,24433,19095,3492,1846
06015,Badajoz,58015,43976,8151,5888
06083,Mérida,23245,17865,2907,2473
07011,Calvià,20609,13427,5500,1682
07026,Eivissa,18516,10745,5933,1838
07040,Palma,157101,104815,39403,12883
08015,Badalona,83337,61550,16968,4819
08019,Barcelona,671177,409684,208468,53025
08056,Castelldefels,24792,16298,6728,1766
08073,Cornellà de Llobregat,34517,24696,7822,1999
08096,Granollers,23463,15818,6022,1623
08101,Hospitalet de Llobregat (L'),101809,66941,27916,6952
08113,Manresa,31030,19891,8793,2346
08121,Mataró,48140,33735,11502,2903
08124,Mollet del Vallès,19238,14405,3851,982
08169,Prat de Llobregat (El),24614,19145,4151,1318
08184,Rubí,28881,21053,6181,1647
08187,Sabadell,83558,61128,17407,5023
08200,Sant Boi de Llobregat,31529,24401,5515,1613
08205,Sant Cugat del Vallès,31327,21572,7968,1787
08245,Santa Coloma de Gramenet,44180,30841,10465,2874
08266,Cerdanyola del Vallès,21726,16491,4082,1153
08279,Terrassa,84791,60652,19066,5073
08301,Viladecans,24405,19606,3726,1073
08307,Vilanova i la Geltrú,26067,18219,6133,1715
09059,Burgos,73410,59656,10277,3477
10037,Cáceres,39048,30790,5207,3051
11004,Algeciras,45430,35943,6298,3189
11012,Cádiz,46071,34807,7587,3677
11015,Chiclana de la Frontera,31638,25088,4418,2132
11020,Jerez de la Frontera,79708,66173,9068,4467
11022,Línea de la Concepción (La),24282,18753,3627,1902
11027,Puerto de Santa María (El),32489,25882,4514,2093
11031,San Fernando,34878,29093,3813,1972
11032,Sanlúcar de Barrameda,25294,19283,4225,1786
12040,Castelló de la Plana,69787,52811,10267,6709
12135,Vila-real,19177,15672,1928,1577
13034,Ciudad Real,29875,23061,5170,1644
14021,Córdoba,122668,102031,13264,7373
15030,Coruña (A),104637,69246,24679,10712
15036,Ferrol,29247,20852,5680,2715
15078,Santiago de Compostela,39315,25700,9265,4350
16078,Cuenca,22187,17699,2930,1558
17079,Girona,38711,24892,11946,1873
18087,Granada,98316,70361,18166,9789
18140,Motril,21576,16984,3036,1556
19130,Guadalajara,34106,24112,7318,2676
20045,Irun,25411,20433,4039,939
20069,Donostia/San Sebastián,79333,62277,14818,2238
21041,Huelva,55813,45648,4786,5379
22125,Huesca,21830,15845,4333,1652
23050,Jaén,43149,36008,4223,2918
23055,Linares,21526,17721,2100,1705
24089,León,55185,37878,11541,5766
24115,Ponferrada,27569,19304,5510,2755
25120,Lleida,54542,38694,12648,3200
26089,Logroño,62937,49958,9474,3505
27028,Lugo,41300,30409,7596,3295
28005,Alcalá de Henares,72991,56370,13323,3298
28006,Alcobendas,40084,30002,8584,1498
28007,Alcorcón,65867,53514,9468,2885
