Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion
Piso en San Isidro, Madrid;245000;2 hab.;65 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor
Piso en calle de Pablo Montesinos, San Isidro, Madrid;240000;3 hab.;79 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor
Piso en calle Soldado José María Rey, San Isidro, Madrid;199000;1 hab.;88 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior con ascensor
Piso en calle Alcaudón, San Isidro, Madrid;237000;3 hab.;67 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor
Piso en San Isidro, Madrid;250000;2 hab.;73 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en San Isidro, Madrid;228000;3 hab.;107 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor
Piso en calle Paulina Odiaga, San Isidro, Madrid;220000;2 hab.;60 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor
Piso en calle Valentin Llaguno, 32, San Isidro, Madrid;450000;2 hab.;109 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior con ascensor
Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;355000;1 hab.;79 m²;madrid;carabanchel;san-isidro;Garaje incluido; exterior con ascensor
Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;495000;2 hab.;117 m²;madrid;carabanchel;san-isidro;Garaje incluido; exterior con ascensor
Piso en calle Cadete Julio Llompart, San Isidro, Madrid;170000;2 hab.;58 m²;madrid;carabanchel;san-isidro;No;Planta 4ª exterior sin ascensor
Piso en calle Fernando Mora, San Isidro, Madrid;322900;2 hab.;120 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 2ª exterior con ascensor
Ático en calle Fernando Mora, San Isidro, Madrid;322000;1 hab.;105 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Fernando Mora, San Isidro, Madrid;317000;2 hab.;120 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor
Ático en calle Fernando Mora, San Isidro, Madrid;325000;1 hab.;112 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Alcaudón, San Isidro, Madrid;159000;3 hab.;56 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en alto de San Isidro, San Isidro, Madrid;450000;3 hab.;140 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle de Peñafiel, San Isidro, Madrid;350000;3 hab.;106 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en calle Paulina Odiaga, San Isidro, Madrid;220000;2 hab.;60 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor
Piso en calle San Ambrosio, San Isidro, Madrid;152950;3 hab.;270 m²;madrid;carabanchel;san-isidro;No;Sótano exterior sin ascensor
Piso en calle José del Río, San Isidro, Madrid;505000;4 hab.;407 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior sin ascensor
Piso en San Isidro, Madrid;450000;3 hab.;140 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle de Armengot, San Isidro, Madrid;138600;3 hab.;87 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor
Piso en calle del General Ricardos, San Isidro, Madrid;275000;3 hab.;104 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor
Piso en San Isidro, Madrid;350000;3 hab.;106 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en calle Fernando Mora, San Isidro, Madrid;158000;2 hab.;57 m²;madrid;carabanchel;san-isidro;No;Planta 4ª exterior sin ascensor
Piso en alto de San Isidro, San Isidro, Madrid;450000;3 hab.;140 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Teodoredo, San Isidro, Madrid;230000;2 hab.;58 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor
Piso en calle de Peñafiel, San Isidro, Madrid;350000;3 hab.;106 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en calle de Peñafiel, San Isidro, Madrid;350000;3 hab.;106 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en calle de Peñafiel, San Isidro, Madrid;350000;3 hab.;106 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior sin ascensor
Piso en calle José Montalvo, s/n, San Isidro, Madrid;290000;4 hab.;107 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior sin ascensor
Piso en calle de Algodre, San Isidro, Madrid;200000;3 hab.;71 m²;madrid;carabanchel;san-isidro;No;Planta 4ª interior con ascensor
Dúplex en calle del Mochuelo, 16, San Isidro, Madrid;335000;3 hab.;100 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor
Estudio en calle Nuestra Señora de la Esperanza, San Isidro, Madrid;163000;no definido;47 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior con ascensor
Dúplex en San Isidro, Madrid;335000;3 hab.;100 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor
Piso en calle de Carlos Dabán, 20, San Isidro, Madrid;288300;1 hab.;53 m²;madrid;carabanchel;san-isidro;No;Planta 2ª sin ascensor
Piso en San Isidro, Madrid;268800;2 hab.;74 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor
Chalet adosado en calle José del Río, San Isidro, Madrid;490000;4 hab.;130 m²;madrid;carabanchel;san-isidro;No;No tiene
Piso en calle Vicenta Pachón, San Isidro, Madrid;199000;1 hab.;84 m²;madrid;carabanchel;san-isidro;No;Bajo exterior con ascensor
Piso en calle José Garrido, San Isidro, Madrid;192000;1 hab.;54 m²;madrid;carabanchel;san-isidro;No;Planta 1ª interior con ascensor
Piso en calle Juana Fuentes, 2, San Isidro, Madrid;210000;1 hab.;72 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor
Piso en San Isidro, Madrid;290000;3 hab.;91 m²;madrid;carabanchel;san-isidro;No;Planta 2ª exterior sin ascensor
Piso en calle Almendralejo, 4, San Isidro, Madrid;228000;4 hab.;70 m²;madrid;carabanchel;san-isidro;No;Planta 3ª exterior con ascensor
Piso en calle de Arroyo de Valdecelada, San Isidro, Madrid;179500;1 hab.;56 m²;madrid;carabanchel;san-isidro;No;Planta 1ª exterior con ascensor
Piso en calle Algaba, San Isidro, Madrid;250000;3 hab.;55 m²;madrid;carabanchel;san-isidro;No;Bajo exterior sin ascensor
Piso en calle Valentín Llaguno, 32, San Isidro, Madrid;440000;2 hab.;113 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior con ascensor
Piso en calle Valentín Llaguno, 32, San Isidro, Madrid;440000;2 hab.;109 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior con ascensor
Piso en Fernando Mora, 8, San Isidro, Madrid;309490;2 hab.;103 m²;madrid;carabanchel;san-isidro;Garaje opc. 10.950 €;Planta 1ª exterior con ascensor
Ático en Fernando Mora, 8, San Isidro, Madrid;311700;1 hab.;68 m²;madrid;carabanchel;san-isidro;Garaje opc. 10.950 €;Planta 3ª exterior con ascensor
Piso en Fernando Mora, 10, San Isidro, Madrid;322900;2 hab.;90 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 2ª exterior con ascensor
Piso en Fernando Mora, 10, San Isidro, Madrid;317000;2 hab.;90 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor
Piso en calle Valentin Llaguno, 32, San Isidro, Madrid;450000;2 hab.;107 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;252500;2 hab.;80 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;257500;2 hab.;79 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;233500;2 hab.;75 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 3ª exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;257500;2 hab.;80 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 2ª exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;249500;2 hab.;79 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 1ª exterior con ascensor
Piso en calle Rascón, 33, San Isidro, Madrid;273500;2 hab.;78 m²;madrid;carabanchel;san-isidro;Garaje incluido;Bajo exterior con ascensor
Ático en calle Rascón, 33, San Isidro, Madrid;384000;2 hab.;89 m²;madrid;carabanchel;san-isidro;Garaje incluido;Planta 4ª exterior con ascensor
Ático en Dátil, 21, Puerta Bonita, Madrid;247563;1 hab.;60 m²;madrid;carabanchel;puerta-bonita;No;Planta 1ª exterior con ascensor
Piso en calle de Tarifa, Puerta Bonita, Madrid;199000;3 hab.;74 m²;madrid;carabanchel;puerta-bonita;No;Planta 3ª exterior sin ascensor
