Vivienda;Precio;Numero habitaciones;Metros cuadrados;Ciudad;Zona;Barrio;Garaje;Descripcion;Regimen
Piso en calle Ciudad de la Habana, 4, Parquesol, Valladolid;650;2 hab.;75 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 1ª interior con ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;52 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 1ª interior sin ascensor;Alquiler
Piso en de José Garrote Tebar, 15, Parquesol, Valladolid;850;3 hab.;105 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 5ª exterior con ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;2100;1 hab.;67 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª exterior sin ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;61 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª interior sin ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;63 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª interior sin ascensor;Alquiler
Piso en calle Miriam Blasco, 139, Parquesol, Valladolid;800;2 hab.;90 m²;valladolid;parquesol;parquesol;Garaje incluido;Bajo exterior con ascensor;Alquiler
Piso en calle de Enrique Cubero, 34, Parquesol, Valladolid;900;3 hab.;125 m²;valladolid;parquesol;parquesol;Garaje incluido;Bajo exterior con ascensor;Alquiler
Piso en calle Profesor Adolfo Miaja de la Muela, 7, Parquesol, Valladolid;895;3 hab.;108 m²;valladolid;parquesol;parquesol;Garaje opc. 55 €/mes;Planta 6ª exterior con ascensor;Alquiler
Dúplex en calle juan garcía hortelano, 27, Parquesol, Valladolid;1200;3 hab.;127 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 7ª exterior con ascensor;Alquiler
Piso en calle Ciudad de la Habana, 4, Parquesol, Valladolid;650;2 hab.;75 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 1ª interior con ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;52 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 1ª interior sin ascensor;Alquiler
Piso en de José Garrote Tebar, 15, Parquesol, Valladolid;850;3 hab.;105 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 5ª exterior con ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;63 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª interior sin ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;1950;1 hab.;61 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª interior sin ascensor;Alquiler
Piso en calle Manuel Azaña, 51, Parquesol, Valladolid;2100;1 hab.;67 m²;valladolid;parquesol;parquesol;Garaje opc. 80 €/mes;Planta 2ª exterior sin ascensor;Alquiler
Piso en calle Miriam Blasco, 139, Parquesol, Valladolid;800;2 hab.;90 m²;valladolid;parquesol;parquesol;Garaje incluido;Bajo exterior con ascensor;Alquiler
Piso en calle de Enrique Cubero, 34, Parquesol, Valladolid;900;3 hab.;125 m²;valladolid;parquesol;parquesol;Garaje incluido;Bajo exterior con ascensor;Alquiler
Piso en calle Profesor Adolfo Miaja de la Muela, 7, Parquesol, Valladolid;895;3 hab.;108 m²;valladolid;parquesol;parquesol;Garaje opc. 55 €/mes;Planta 6ª exterior con ascensor;Alquiler
Dúplex en calle juan garcía hortelano, 27, Parquesol, Valladolid;1200;3 hab.;127 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 7ª exterior con ascensor;Alquiler
Piso en calle Ciudad de la Habana, 4, Parquesol, Valladolid;650;2 hab.;75 m²;valladolid;parquesol;parquesol;Garaje incluido;Planta 1ª interior con ascensor;Alquiler
