id_municipio,id_provincia,municipio,provincia,reg_autonomos,reg_general,total
"",NACIONAL,,,3371345,16713472,21143996
01001,01,ALEGRIA-DULANTZI,ARABA/ÁLAVA,201,522,742
01002,01,AMURRIO,ARABA/ÁLAVA,581,3373,4081
01003,01,ARAMAIO,ARABA/ÁLAVA,59,173,239
01004,01,ARTZINIEGA,ARABA/ÁLAVA,99,296,409
01006,01,ARMIÑON,ARABA/ÁLAVA,19,118,137
01008,01,ARRAZUA-UBARRUNDIA,ARABA/ÁLAVA,99,241,348
01009,01,ASPARRENA,ARABA/ÁLAVA,98,799,907
01010,01,AYALA/AIARA,ARABA/ÁLAVA,231,796,1045
01011,01,BAÑOS DE EBRO/MAÑUETA,ARABA/ÁLAVA,76,33,150
01013,01,BARRUNDIA,ARABA/ÁLAVA,128,77,212
01014,01,BERANTEVILLA,ARABA/ÁLAVA,43,848,897
01016,01,BERNEDO,ARABA/ÁLAVA,60,676,738
01017,01,CAMPEZO/KANPEZU,ARABA/ÁLAVA,89,197,292
01018,01,ZIGOITIA,ARABA/ÁLAVA,195,743,962
01019,01,KRIPAN,ARABA/ÁLAVA,29,13,43
01020,01,KUARTANGO,ARABA/ÁLAVA,37,12,51
01021,01,ELBURGO/BURGELU,ARABA/ÁLAVA,84,118,207
01022,01,ELCIEGO,ARABA/ÁLAVA,111,482,628
01023,01,ELVILLAR/BILAR,ARABA/ÁLAVA,80,45,136
01027,01,IRURAIZ-GAUNA,ARABA/ÁLAVA,65,43,110
01028,01,LABASTIDA,ARABA/ÁLAVA,137,259,436
01030,01,LAGRAN,ARABA/ÁLAVA,15,76,91
01031,01,LAGUARDIA,ARABA/ÁLAVA,220,1653,1922
01032,01,LANCIEGO/LANTZIEGO,ARABA/ÁLAVA,104,228,350
01033,01,LAPUEBLA DE LABARCA,ARABA/ÁLAVA,124,435,583
01034,01,LEZA,ARABA/ÁLAVA,30,64,114
01036,01,LAUDIO/LLODIO,ARABA/ÁLAVA,708,4887,5765
01037,01,ARRAIA-MAEZTU,ARABA/ÁLAVA,87,124,213
01039,01,MOREDA DE ALAVA,ARABA/ÁLAVA,29,50,81
01041,01,NAVARIDAS,ARABA/ÁLAVA,46,20,94
01042,01,OKONDO,ARABA/ÁLAVA,68,274,348
01043,01,OYON-OION,ARABA/ÁLAVA,175,1805,2023
01044,01,PEÑACERRADA-URIZAHARRA,ARABA/ÁLAVA,35,15,52
01046,01,RIBERA ALTA,ARABA/ÁLAVA,89,76,167
01047,01,RIBERA BAJA/ERRIBERA BEI,ARABA/ÁLAVA,83,1174,1266
01049,01,SALINAS DE AÑANA/GESALTZ,ARABA/ÁLAVA,12,44,56
01051,01,SALVATIERRA/AGURAIN,ARABA/ÁLAVA,233,1336,1592
01052,01,SAMANIEGO,ARABA/ÁLAVA,52,185,252
01053,01,SAN MILLAN / DONEMILIAGA,ARABA/ÁLAVA,87,259,359
01054,01,URKABUSTAIZ,ARABA/ÁLAVA,114,164,288
01055,01,VALDEGOVIA,ARABA/ÁLAVA,89,140,231
01056,01,VALLE DE ARANA/HARANA,ARABA/ÁLAVA,28,19,48
01057,01,VILLABUENA DE ALAVA / ES,ARABA/ÁLAVA,66,176,257
01058,01,LEGUTIANO,ARABA/ÁLAVA,131,2605,2753
01059,01,VITORIA-GASTEIZ,ARABA/ÁLAVA,12556,113431,128182
01060,01,YECORA/IEKORA,ARABA/ÁLAVA,41,11,66
01061,01,ZALDUONDO,ARABA/ÁLAVA,17,5,18
01062,01,ZAMBRANA,ARABA/ÁLAVA,22,12,35
01063,01,ZUIA,ARABA/ÁLAVA,212,420,662
01901,01,IRUÑA DE OCA/IRUÑA OKA,ARABA/ÁLAVA,251,2299,2557
01902,01,LANTARON,ARABA/ÁLAVA,63,784,855
02001,02,ABENGIBRE,ALBACETE,56,223,285
02002,02,ALATOZ,ALBACETE,52,37,97
02003,02,ALBACETE,ALBACETE,11050,66817,80883
02004,02,ALBATANA,ALBACETE,66,31,112
02005,02,ALBOREA,ALBACETE,77,95,191
02006,02,ALCADOZO,ALBACETE,47,53,109
02007,02,ALCALA DEL JUCAR,ALBACETE,121,374,508
02008,02,ALCARAZ,ALBACETE,119,201,341
02009,02,ALMANSA,ALBACETE,1695,7441,9293
02010,02,ALPERA,ALBACETE,227,216,550
02011,02,AYNA,ALBACETE,36,60,102
02012,02,BALAZOTE,ALBACETE,314,562,1009
02013,02,BALSA DE VES,ALBACETE,7,31,39
02014,02,BALLESTERO (EL),ALBACETE,35,120,162
02015,02,BARRAX,ALBACETE,155,406,690
02016,02,BIENSERVIDA,ALBACETE,40,51,101
02017,02,BOGARRA,ALBACETE,58,50,118
02018,02,BONETE,ALBACETE,75,158,262
02019,02,BONILLO (EL),ALBACETE,224,333,696
02020,02,CARCELEN,ALBACETE,32,39,81
02021,02,CASAS DE JUAN NUÑEZ,ALBACETE,108,154,315
02022,02,CASAS DE LAZARO,ALBACETE,8,18,27
02023,02,CASAS DE VES,ALBACETE,58,33,101
02024,02,CASAS-IBAÑEZ,ALBACETE,505,922,1600
02025,02,CAUDETE,ALBACETE,617,2113,2837
02026,02,CENIZATE,ALBACETE,111,115,355
02027,02,CORRAL-RUBIO,ALBACETE,26,16,48
02028,02,COTILLAS,ALBACETE,12,5,14
02029,02,CHINCHILLA DE MONTE-ARAG,ALBACETE,298,1509,1884
02030,02,ELCHE DE LA SIERRA,ALBACETE,314,507,880
02031,02,FEREZ,ALBACETE,42,48,108
02032,02,FUENSANTA,ALBACETE,17,21,45
02033,02,FUENTE-ALAMO,ALBACETE,282,324,666
02034,02,FUENTEALBILLA,ALBACETE,163,320,593
02035,02,GINETA (LA),ALBACETE,215,347,624
02036,02,GOLOSALVO,ALBACETE,7,7,16
02037,02,HELLIN,ALBACETE,2216,5613,9230
02038,02,HERRERA (LA),ALBACETE,24,39,95
02039,02,HIGUERUELA,ALBACETE,131,169,319
02040,02,HOYA-GONZALO,ALBACETE,46,66,128
02041,02,JORQUERA,ALBACETE,21,81,103
02042,02,LETUR,ALBACETE,85,145,241
02043,02,LEZUZA,ALBACETE,182,252,494
02044,02,LIETOR,ALBACETE,66,53,149
02045,02,MADRIGUERAS,ALBACETE,365,1031,1476
02046,02,MAHORA,ALBACETE,101,127,265
02047,02,MASEGOSO,ALBACETE,6,63,69
02048,02,MINAYA,ALBACETE,126,292,454
02049,02,MOLINICOS,ALBACETE,62,44,111
02050,02,MONTALVOS,ALBACETE,5,18,23
02051,02,MONTEALEGRE DEL CASTILLO,ALBACETE,293,598,943
02052,02,MOTILLEJA,ALBACETE,32,49,97
02053,02,MUNERA,ALBACETE,319,274,767
02054,02,NAVAS DE JORQUERA,ALBACETE,52,26,142
