Municipios (con más de 50.000 habitantes) y capitales de provincia;Tipo de vivienda (principal o no);Año de construcción del edificio;Total
01059 Vitoria-Gasteiz;Total;Total;119.853
01059 Vitoria-Gasteiz;Total;Antes de 1900;1.043
01059 Vitoria-Gasteiz;Total;De 1900 a 1920;852
01059 Vitoria-Gasteiz;Total;De 1921 a 1940;998
01059 Vitoria-Gasteiz;Total;De 1941 a 1950;1.793
01059 Vitoria-Gasteiz;Total;De 1951 a 1960;6.645
01059 Vitoria-Gasteiz;Total;De 1961 a 1970;22.392
01059 Vitoria-Gasteiz;Total;De 1971 a 1980;25.975
01059 Vitoria-Gasteiz;Total;De 1981 a 1990;16.050
01059 Vitoria-Gasteiz;Total;De 1991 a 2000;12.326
01059 Vitoria-Gasteiz;Total;De 2001 a 2010;24.506
01059 Vitoria-Gasteiz;Total;De 2011 a 2020;7.273
01059 Vitoria-Gasteiz;Total;No consta;0
01059 Vitoria-Gasteiz;Vivienda principal;Total;107.165
01059 Vitoria-Gasteiz;Vivienda principal;Antes de 1900;743
01059 Vitoria-Gasteiz;Vivienda principal;De 1900 a 1920;664
01059 Vitoria-Gasteiz;Vivienda principal;De 1921 a 1940;783
01059 Vitoria-Gasteiz;Vivienda principal;De 1941 a 1950;1.487
01059 Vitoria-Gasteiz;Vivienda principal;De 1951 a 1960;5.552
01059 Vitoria-Gasteiz;Vivienda principal;De 1961 a 1970;19.435
01059 Vitoria-Gasteiz;Vivienda principal;De 1971 a 1980;23.510
01059 Vitoria-Gasteiz;Vivienda principal;De 1981 a 1990;14.561
01059 Vitoria-Gasteiz;Vivienda principal;De 1991 a 2000;11.019
01059 Vitoria-Gasteiz;Vivienda principal;De 2001 a 2010;22.840
01059 Vitoria-Gasteiz;Vivienda principal;De 2011 a 2020;6.571
01059 Vitoria-Gasteiz;Vivienda principal;No consta;0
01059 Vitoria-Gasteiz;Vivienda no principal;Total;12.688
01059 Vitoria-Gasteiz;Vivienda no principal;Antes de 1900;300
01059 Vitoria-Gasteiz;Vivienda no principal;De 1900 a 1920;188
01059 Vitoria-Gasteiz;Vivienda no principal;De 1921 a 1940;215
01059 Vitoria-Gasteiz;Vivienda no principal;De 1941 a 1950;306
01059 Vitoria-Gasteiz;Vivienda no principal;De 1951 a 1960;1.093
01059 Vitoria-Gasteiz;Vivienda no principal;De 1961 a 1970;2.957
01059 Vitoria-Gasteiz;Vivienda no principal;De 1971 a 1980;2.465
01059 Vitoria-Gasteiz;Vivienda no principal;De 1981 a 1990;1.489
01059 Vitoria-Gasteiz;Vivienda no principal;De 1991 a 2000;1.307
01059 Vitoria-Gasteiz;Vivienda no principal;De 2001 a 2010;1.666
01059 Vitoria-Gasteiz;Vivienda no principal;De 2011 a 2020;702
01059 Vitoria-Gasteiz;Vivienda no principal;No consta;0
02003 Albacete;Total;Total;86.881
02003 Albacete;Total;Antes de 1900;101
02003 Albacete;Total;De 1900 a 1920;946
02003 Albacete;Total;De 1921 a 1940;841
02003 Albacete;Total;De 1941 a 1950;962
02003 Albacete;Total;De 1951 a 1960;2.881
02003 Albacete;Total;De 1961 a 1970;11.386
02003 Albacete;Total;De 1971 a 1980;18.976
02003 Albacete;Total;De 1981 a 1990;10.563
02003 Albacete;Total;De 1991 a 2000;18.160
02003 Albacete;Total;De 2001 a 2010;18.599
02003 Albacete;Total;De 2011 a 2020;3.154
02003 Albacete;Total;No consta;312
02003 Albacete;Vivienda principal;Total;66.328
02003 Albacete;Vivienda principal;Antes de 1900;10
02003 Albacete;Vivienda principal;De 1900 a 1920;269
02003 Albacete;Vivienda principal;De 1921 a 1940;313
02003 Albacete;Vivienda principal;De 1941 a 1950;553
02003 Albacete;Vivienda principal;De 1951 a 1960;1.922
02003 Albacete;Vivienda principal;De 1961 a 1970;8.557
02003 Albacete;Vivienda principal;De 1971 a 1980;14.875
02003 Albacete;Vivienda principal;De 1981 a 1990;8.039
02003 Albacete;Vivienda principal;De 1991 a 2000;14.529
02003 Albacete;Vivienda principal;De 2001 a 2010;14.677
02003 Albacete;Vivienda principal;De 2011 a 2020;2.361
02003 Albacete;Vivienda principal;No consta;223
02003 Albacete;Vivienda no principal;Total;20.553
02003 Albacete;Vivienda no principal;Antes de 1900;91
02003 Albacete;Vivienda no principal;De 1900 a 1920;677
02003 Albacete;Vivienda no principal;De 1921 a 1940;528
