Municipios (con más de 50.000 habitantes) y capitales de provincia;Tamaño del hogar;Superficia de la vivienda;Total
01059 Vitoria-Gasteiz;Total (tamaño del hogar);Total (superficie útil);107.165
01059 Vitoria-Gasteiz;1 persona;Total (superficie útil);33.223
01059 Vitoria-Gasteiz;2 personas;Total (superficie útil);33.280
01059 Vitoria-Gasteiz;3 personas;Total (superficie útil);19.913
01059 Vitoria-Gasteiz;4 personas;Total (superficie útil);15.690
01059 Vitoria-Gasteiz;5 o más personas;Total (superficie útil);5.059
02003 Albacete;Total (tamaño del hogar);Total (superficie útil);66.328
02003 Albacete;1 persona;Total (superficie útil);17.290
02003 Albacete;2 personas;Total (superficie útil);17.260
02003 Albacete;3 personas;Total (superficie útil);14.182
02003 Albacete;4 personas;Total (superficie útil);13.015
02003 Albacete;5 o más personas;Total (superficie útil);4.581
03009 Alcoy/Alcoi;Total (tamaño del hogar);Total (superficie útil);24.615
03009 Alcoy/Alcoi;1 persona;Total (superficie útil);7.265
03009 Alcoy/Alcoi;2 personas;Total (superficie útil);7.145
03009 Alcoy/Alcoi;3 personas;Total (superficie útil);5.139
03009 Alcoy/Alcoi;4 personas;Total (superficie útil);3.950
03009 Alcoy/Alcoi;5 o más personas;Total (superficie útil);1.116
03014 Alicante/Alacant;Total (tamaño del hogar);Total (superficie útil);135.864
03014 Alicante/Alacant;1 persona;Total (superficie útil);39.536
03014 Alicante/Alacant;2 personas;Total (superficie útil);37.976
03014 Alicante/Alacant;3 personas;Total (superficie útil);27.155
03014 Alicante/Alacant;4 personas;Total (superficie útil);21.375
03014 Alicante/Alacant;5 o más personas;Total (superficie útil);9.822
03031 Benidorm;Total (tamaño del hogar);Total (superficie útil);29.550
03031 Benidorm;1 persona;Total (superficie útil);10.352
03031 Benidorm;2 personas;Total (superficie útil);8.796
03031 Benidorm;3 personas;Total (superficie útil);5.012
03031 Benidorm;4 personas;Total (superficie útil);3.415
03031 Benidorm;5 o más personas;Total (superficie útil);1.975
03065 Elche/Elx;Total (tamaño del hogar);Total (superficie útil);88.498
03065 Elche/Elx;1 persona;Total (superficie útil);20.773
03065 Elche/Elx;2 personas;Total (superficie útil);24.444
03065 Elche/Elx;3 personas;Total (superficie útil);19.225
03065 Elche/Elx;4 personas;Total (superficie útil);16.947
03065 Elche/Elx;5 o más personas;Total (superficie útil);7.109
03066 Elda;Total (tamaño del hogar);Total (superficie útil);21.028
03066 Elda;1 persona;Total (superficie útil);5.569
03066 Elda;2 personas;Total (superficie útil);6.249
03066 Elda;3 personas;Total (superficie útil);4.522
03066 Elda;4 personas;Total (superficie útil);3.447
03066 Elda;5 o más personas;Total (superficie útil);1.241
03099 Orihuela;Total (tamaño del hogar);Total (superficie útil);31.805
03099 Orihuela;1 persona;Total (superficie útil);8.893
03099 Orihuela;2 personas;Total (superficie útil);10.155
03099 Orihuela;3 personas;Total (superficie útil);5.579
03099 Orihuela;4 personas;Total (superficie útil);4.834
03099 Orihuela;5 o más personas;Total (superficie útil);2.344
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total (tamaño del hogar);Total (superficie útil);21.721
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;1 persona;Total (superficie útil);4.720
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;2 personas;Total (superficie útil);5.740
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;3 personas;Total (superficie útil);5.104
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;4 personas;Total (superficie útil);4.562
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;5 o más personas;Total (superficie útil);1.595
03133 Torrevieja;Total (tamaño del hogar);Total (superficie útil);36.829
03133 Torrevieja;1 persona;Total (superficie útil);12.873
03133 Torrevieja;2 personas;Total (superficie útil);11.414
03133 Torrevieja;3 personas;Total (superficie útil);5.952
03133 Torrevieja;4 personas;Total (superficie útil);4.266
03133 Torrevieja;5 o más personas;Total (superficie útil);2.324
04013 Almería;Total (tamaño del hogar);Total (superficie útil);75.980
04013 Almería;1 persona;Total (superficie útil);20.372
04013 Almería;2 personas;Total (superficie útil);19.558
04013 Almería;3 personas;Total (superficie útil);15.870
04013 Almería;4 personas;Total (superficie útil);13.327
04013 Almería;5 o más personas;Total (superficie útil);6.853
04079 Roquetas de Mar;Total (tamaño del hogar);Total (superficie útil);37.295
04079 Roquetas de Mar;1 persona;Total (superficie útil);9.807
04079 Roquetas de Mar;2 personas;Total (superficie útil);9.586
04079 Roquetas de Mar;3 personas;Total (superficie útil);7.798
04079 Roquetas de Mar;4 personas;Total (superficie útil);6.711
04079 Roquetas de Mar;5 o más personas;Total (superficie útil);3.393
04902 Ejido, El;Total (tamaño del hogar);Total (superficie útil);28.813
04902 Ejido, El;1 persona;Total (superficie útil);6.696
04902 Ejido, El;2 personas;Total (superficie útil);6.962
04902 Ejido, El;3 personas;Total (superficie útil);5.898
04902 Ejido, El;4 personas;Total (superficie útil);5.705
04902 Ejido, El;5 o más personas;Total (superficie útil);3.552
05019 Ávila;Total (tamaño del hogar);Total (superficie útil);24.433
05019 Ávila;1 persona;Total (superficie útil);7.904
05019 Ávila;2 personas;Total (superficie útil);6.671
05019 Ávila;3 personas;Total (superficie útil);4.976
05019 Ávila;4 personas;Total (superficie útil);3.746
05019 Ávila;5 o más personas;Total (superficie útil);1.136
06015 Badajoz;Total (tamaño del hogar);Total (superficie útil);58.015
06015 Badajoz;1 persona;Total (superficie útil);14.587
06015 Badajoz;2 personas;Total (superficie útil);15.626
06015 Badajoz;3 personas;Total (superficie útil);12.718
06015 Badajoz;4 personas;Total (superficie útil);10.959
06015 Badajoz;5 o más personas;Total (superficie útil);4.125
06083 Mérida;Total (tamaño del hogar);Total (superficie útil);23.245
06083 Mérida;1 persona;Total (superficie útil);6.102
06083 Mérida;2 personas;Total (superficie útil);6.232
06083 Mérida;3 personas;Total (superficie útil);4.958
06083 Mérida;4 personas;Total (superficie útil);4.516
06083 Mérida;5 o más personas;Total (superficie útil);1.437
07011 Calvià;Total (tamaño del hogar);Total (superficie útil);20.609
07011 Calvià;1 persona;Total (superficie útil);5.946
07011 Calvià;2 personas;Total (superficie útil);5.696
07011 Calvià;3 personas;Total (superficie útil);4.066
07011 Calvià;4 personas;Total (superficie útil);3.231
07011 Calvià;5 o más personas;Total (superficie útil);1.670
07026 Eivissa;Total (tamaño del hogar);Total (superficie útil);18.516
