id,municipio,2020M08,2021M02,2021M08,2022M02,2022M08,2023M02,2023M08,2024M02
01,Andalucía,67392,61574,63179,60813,70123,70194,79065,82454
01,Araba/Álava,332,300,328,279,325,332,320,346
01001,Alegría-Dulantzi,2,3,3,2,2,2,2,2
01002,Amurrio,8,7,9,9,9,7,11,9
01003,Aramaio,0,0,0,0,0,2,2,2
01004,Artziniega,5,5,3,2,2,2,3,3
01006,Armiñón,3,2,3,3,2,1,1,1
01008,Arratzua-Ubarrundia,2,2,2,2,2,2,2,2
01009,Asparrena,1,1,1,1,2,2,2,2
01010,Ayala/Aiara,12,8,9,9,7,8,8,7
01011,Baños de Ebro/Mañueta,0,0,0,0,0,0,1,1
01013,Barrundia,1,1,1,1,1,1,0,0
01014,Berantevilla,0,0,0,0,0,0,0,0
01016,Bernedo,2,2,2,2,2,1,1,1
01017,Campezo/Kanpezu,3,3,6,6,6,7,9,9
01018,Zigoitia,7,8,7,5,6,7,5,5
01019,Kripan,0,0,0,0,0,0,0,0
01020,Kuartango,5,5,5,0,4,0,0,1
01021,Elburgo/Burgelu,4,3,4,4,3,4,4,3
01022,Elciego,9,5,6,6,5,7,8,7
01023,Elvillar/Bilar,1,1,1,0,0,0,0,0
01027,Iruraiz-Gauna,2,2,2,2,2,2,2,2
01028,Labastida/Bastida,6,5,7,8,12,10,14,12
01030,Lagrán,0,0,0,0,3,3,0,0
01031,Laguardia,19,17,19,14,19,13,20,21
01032,Lanciego/Lantziego,11,10,9,10,11,11,10,8
01033,Lapuebla de Labarca,8,8,6,6,6,4,3,6
01034,Leza,2,1,1,1,2,2,4,5
01036,Laudio/Llodio,5,2,6,3,2,5,6,7
01037,Arraia-Maeztu,5,6,6,6,7,6,6,5
01039,Moreda de Álava/Moreda Araba,1,1,1,1,1,1,1,1
01041,Navaridas,0,0,0,0,2,0,1,1
01042,Okondo,0,0,0,0,0,0,0,0
01043,Oyón-Oion,4,4,4,3,3,4,1,1
01044,Peñacerrada-Urizaharra,1,1,0,0,0,0,0,0
01046,Erriberagoitia/Ribera Alta,4,3,5,5,5,5,4,4
01047,Ribera Baja/Erriberabeitia,6,7,8,4,1,0,1,1
01049,Añana,4,5,4,4,2,2,0,0
01051,Agurain/Salvatierra,2,2,2,1,1,1,1,1
01052,Samaniego,3,3,2,2,3,3,3,5
01053,San Millán/Donemiliaga,7,5,9,6,8,8,7,4
01054,Urkabustaiz,2,2,2,2,4,5,4,4
01055,Valdegovía/Gaubea,6,7,7,5,8,7,6,5
01056,Harana/Valle de Arana,0,0,0,0,0,0,1,1
01057,Villabuena de Álava/Eskuernaga,1,1,1,1,1,1,1,1
01058,Legutio,5,5,6,5,6,4,7,9
01059,Vitoria-Gasteiz,152,135,148,129,153,172,147,177
01060,Yécora/Iekora,1,1,1,1,1,1,1,1
01061,Zalduondo,0,0,0,0,0,0,0,0
01062,Zambrana,1,1,1,1,0,1,1,1
01063,Zuia,7,7,5,4,7,5,7,6
01901,Iruña Oka/Iruña de Oca,0,1,1,1,0,0,0,0
01902,Lantarón,2,2,3,2,2,3,2,2
02,Albacete,587,602,626,653,722,808,882,955
02,Aragón,3767,3521,3609,3480,3744,3880,4041,4594
02001,Abengibre,0,0,0,0,0,0,0,0
02002,Alatoz,1,1,3,3,3,2,3,3
02003,Albacete,144,141,134,133,142,177,206,240
02004,Albatana,0,0,0,0,0,0,1,2
02005,Alborea,1,0,1,1,2,3,3,3
02006,Alcadozo,0,0,0,2,2,2,2,2
02007,Alcalá del Júcar,54,57,67,68,70,79,78,100
02008,Alcaraz,28,26,24,28,29,31,38,37
02009,Almansa,5,5,9,8,9,12,14,18
02010,Alpera,6,6,5,6,7,8,8,2
02011,Ayna,6,6,5,7,8,9,9,10
02012,Balazote,1,0,1,1,1,1,1,1
02013,Balsa de Ves,0,0,1,1,1,1,1,1
02014,"Ballestero, El",4,4,4,4,4,3,2,3
02015,Barrax,0,0,0,0,0,0,0,0
02016,Bienservida,3,3,3,3,3,3,2,2
02017,Bogarra,10,9,9,11,11,7,7,8
02018,Bonete,1,1,1,0,0,0,0,0
02019,"Bonillo, El",0,2,2,2,3,3,2,2
02020,Carcelén,4,1,3,5,8,9,10,9
02021,Casas de Juan Núñez,2,2,2,2,6,5,5,6
02022,Casas de Lázaro,3,3,3,2,3,3,3,3
02023,Casas de Ves,2,2,3,3,3,3,2,2
02024,Casas-Ibáñez,13,13,7,9,7,6,5,5
02025,Caudete,2,3,2,3,10,13,10,8
02026,Cenizate,1,1,1,1,1,1,1,2
02027,Corral-Rubio,0,0,0,0,0,0,0,0
02028,Cotillas,0,0,1,1,0,0,0,0
02029,Chinchilla de Monte-Aragón,14,12,13,14,14,15,12,12
02030,Elche de la Sierra,13,13,19,19,22,23,30,33
02031,Férez,2,2,2,4,4,5,2,2
02032,Fuensanta,0,0,0,0,1,1,1,0
02033,Fuente-Álamo,6,4,6,7,8,8,9,9
02034,Fuentealbilla,3,3,1,1,1,2,2,2
02035,"Gineta, La",1,1,1,1,0,0,0,0
02036,Golosalvo,0,0,0,0,0,0,0,0
02037,Hellín,5,7,6,6,11,13,14,16
02038,"Herrera, La",0,0,0,0,0,0,0,0
02039,Higueruela,1,1,1,1,1,2,4,4
02040,Hoya-Gonzalo,2,2,2,1,1,1,2,2
02041,Jorquera,14,13,10,13,9,13,18,16
02042,Letur,13,10,17,16,20,20,20,18
02043,Lezuza,0,0,0,1,0,1,1,0
02044,Liétor,3,3,3,3,2,2,4,3
02045,Madrigueras,1,1,1,2,2,2,2,2
02046,Mahora,1,1,1,1,2,3,2,3
02047,Masegoso,3,3,3,3,3,4,4,4
02048,Minaya,5,5,5,5,5,5,2,2
02049,Molinicos,13,9,8,9,7,8,8,7
02050,Montalvos,0,0,0,0,0,0,0,0
02051,Montealegre del Castillo,0,0,0,0,0,0,0,1
02052,Motilleja,2,2,2,2,2,1,2,2
02053,Munera,3,4,2,1,2,2,3,4
02054,Navas de Jorquera,0,0,0,0,0,0,0,0
02055,Nerpio,4,6,7,4,3,5,6,12
02056,Ontur,1,1,1,1,1,1,1,4
02057,Ossa de Montiel,32,38,44,46,48,53,54,53
02058,Paterna del Madera,3,2,3,1,1,1,0,0
02059,Peñascosa,0,0,0,0,0,1,1,1
02060,Peñas de San Pedro,2,2,2,2,2,3,3,4
02061,Pétrola,0,0,0,0,1,1,1,0
02062,Povedilla,1,1,1,1,1,1,1,1
02063,Pozohondo,2,2,2,3,4,3,3,4
02064,Pozo-Lorente,1,1,1,1,1,1,1,2
02065,Pozuelo,0,0,0,0,0,0,1,1
02066,"Recueja, La",0,0,0,0,0,3,3,3
02067,Riópar,61,66,69,68,80,97,107,103
02068,Robledo,1,0,3,4,5,5,5,5
02069,"Roda, La",2,2,2,2,1,1,6,9
02070,Salobre,1,1,1,1,1,1,2,2
02071,San Pedro,1,1,1,1,1,1,1,1
02072,Socovos,3,5,5,5,4,6,8,8
02073,Tarazona de la Mancha,0,0,0,0,0,0,0,0
02074,Tobarra,6,7,11,9,10,10,8,6
02075,Valdeganga,4,4,5,5,9,8,8,9
02076,Vianos,1,0,0,0,0,0,0,0
02077,Villa de Ves,3,3,2,2,1,1,2,2
02078,Villalgordo del Júcar,1,1,0,1,3,2,2,2
02079,Villamalea,3,3,3,3,2,3,4,3
02080,Villapalacios,0,0,0,0,0,0,0,0
02081,Villarrobledo,8,12,6,8,19,22,26,30
02082,Villatoya,0,0,2,2,2,2,2,2
02083,Villavaliente,0,0,0,0,0,0,0,0
02084,Villaverde de Guadalimar,5,8,9,10,9,9,9,9
02085,Viveros,0,0,0,1,1,1,1,1
02086,Yeste,45,54,52,58,62,54,61,67
02901,Pozo Cañada,0,0,0,0,0,0,0,0
03,Alicante/Alacant,35716,33391,33776,31946,34061,33115,37962,38007
03,"Asturias, Principado de",4891,4373,5176,4723,6110,5810,7036,7240
03001,"Atzúbia, l'",35,34,36,34,31,32,35,37
03002,Agost,13,13,13,16,17,14,14,18
03003,Agres,3,4,5,5,7,6,6,6
03004,Aigües,20,17,23,18,25,25,31,23
03005,Albatera,16,13,13,12,14,15,13,23
03006,Alcalalí,36,35,40,38,37,36,41,40
03007,Alcosser,0,0,0,0,0,0,0,0
03008,Alcoleja,8,5,4,5,5,4,4,4
03009,Alcoi/Alcoy,88,99,99,78,59,76,75,88
03010,Alfafara,1,2,1,1,2,3,3,3
03011,"Alfàs del Pi, l'",484,427,469,434,479,455,517,534
03012,Algorfa,97,88,84,78,76,72,66,63
03013,Algueña,1,1,1,1,2,3,5,6
03014,Alacant/Alicante,3815,3451,3301,3060,3224,3153,3418,3589
03015,Almoradí,37,38,39,27,33,27,33,37
03016,Almudaina,0,0,0,0,0,0,0,0
03017,"Alqueria d'Asnar, l'",0,0,0,0,0,0,0,0
03018,Altea,1275,1152,1196,1136,1209,1123,1267,1273
03019,Aspe,18,15,13,15,17,20,19,27
03020,Balones,0,0,0,0,0,0,0,0
