id,municipio,total,antes_de_1900,de_1900_a_1920,de_1921_a_1940,de_1941_a_1960,de_1961_a_1980,de_1981_a_2000
04079,Roquetas de Mar,62150,0,0,4,185,7146,19156
28049,Coslada,31337,0,0,3,237,18117,7578
28080,Majadahonda,25577,0,1,20,177,7041,10063
28123,Rivas-Vaciamadrid,35980,0,1,0,39,27,12552
28007,Alcorcón,70601,0,3,54,878,43304,12803
28022,Boadilla del Monte,19874,0,4,6,44,2002,7864
29025,Benalmádena,48663,0,13,44,581,12074,16933
28074,Leganés,77962,0,14,9,433,46039,16135
39087,Torrelavega,26596,0,15,1704,2976,11874,5172
28006,Alcobendas,42744,0,18,15,493,17421,13109
28127,Rozas de Madrid (Las),35404,0,18,3,477,4117,18350
29054,Fuengirola,48887,0,20,42,815,17683,16146
28106,Parla,47256,0,22,21,94,20293,6280
28065,Getafe,79835,0,34,113,1095,34825,20165
28092,Móstoles,82103,0,36,36,149,53539,14588
28134,San Sebastián de los Reyes,36032,0,38,19,231,11354,10545
28148,Torrejón de Ardoz,50494,0,46,95,944,22417,11730
28161,Valdemoro,28896,0,61,43,132,4149,7980
28115,Pozuelo de Alarcón,32327,0,89,109,1272,8956,13429
29094,Vélez-Málaga,50454,0,89,667,1504,15409,13591
28014,Arganda del Rey,21573,0,379,139,314,6210,4300
52001,Melilla,29347,0,1265,3144,2716,2491,7506
44216,Teruel,21490,0,1309,617,1652,5551,6474
39075,Santander,93407,0,7429,3680,10338,35777,22433
11004,Algeciras,55815,1,50,303,4100,21266,15459
29901,Torremolinos,42938,1,56,36,947,18598,12323
28113,Pinto,21507,1,61,20,163,5157,6550
28058,Fuenlabrada,70944,1,93,49,162,35078,27914
13034,Ciudad Real,41592,1,171,349,1438,10889,14290
29051,Estepona,50366,2,21,335,1180,9229,16997
29069,Marbella,100282,2,26,208,914,27331,39765
03066,Elda,27488,2,103,969,3892,11147,5596
29070,Mijas,62030,2,184,235,1127,6541,24342
38017,Granadilla de Abona,24284,2,320,58,518,2381,7455
03031,Benidorm,60479,3,211,109,1351,25875,23529
41004,Alcalá de Guadaíra,32822,3,248,618,2241,9832,8526
16078,Cuenca,31611,3,1874,1137,2702,7683,9094
06083,Mérida,31358,4,16,1627,1491,8667,9580
03133,Torrevieja,122736,4,43,50,401,13057,75500
28045,Colmenar Viejo,20461,4,97,132,853,6221,5768
21041,Huelva,68714,4,275,751,4823,29349,19792
18140,Motril,32841,4,321,268,1163,11335,9921
35019,San Bartolomé de Tirajana,32766,4,532,242,760,11890,12193
23055,Linares,29385,5,183,738,3745,9617,8537
08056,Castelldefels,28708,6,28,129,1222,14689,6919
28047,Collado Villalba,27922,6,88,166,1268,10712,9589
51001,Ceuta,28315,6,335,1064,3503,7481,7727
42173,Soria,25244,6,492,304,1705,7890,8226
14021,Córdoba,155400,6,819,1792,12780,67304,43703
35026,Telde,46739,7,1604,455,1918,12317,14505
49275,Zamora,39710,8,1740,742,3353,12705,11610
41038,Dos Hermanas,56736,11,52,143,2111,15548,19260
41095,Utrera,23030,11,71,252,1212,7122,6996
30027,Molina de Segura,32908,14,104,461,2211,8391,8292
45165,Talavera de la Reina,43263,16,305,430,2934,17939,11486
11022,Línea de la Concepción (La),30028,17,306,637,3022,9637,8146
38006,Arona,53746,18,109,95,721,7799,19622
08124,Mollet del Vallès,20857,18,244,467,385,10025,7026
11015,Chiclana de la Frontera,49229,22,505,224,675,8028,23440
23050,Jaén,58293,25,239,1108,4435,23164,19267
05019,Ávila,34843,25,816,547,2276,9311,9586
28005,Alcalá de Henares,79588,27,684,123,1041,44155,19215
