;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2_municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;reg_autonomos;reg_general;Total afiliados;Turismo 2024;En alquiler;En propiedad;Otro régimen de tenencia;Total viviendas;%propiedad;%alquiler;Proporcion Propiedad/Alquiler;total_superficie;menos_de_60m2;entre_61_y_105m2;mas_de_106m2;%menos_de_60m2;%entre_61_y_105m2;%mas_de_106m2
0;Piso en San Isidro, Madrid;245000;2;65.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
1;Piso en calle de Pablo Montesinos, San Isidro, Madrid;240000;3;79.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
2;Piso en calle Soldado José María Rey, San Isidro, Madrid;199000;1;88.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
3;Piso en calle Alcaudón, San Isidro, Madrid;237000;3;67.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
4;Piso en San Isidro, Madrid;250000;2;73.0;Madrid;Carabanchel;San Isidro;No;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
5;Piso en San Isidro, Madrid;228000;3;107.0;Madrid;Carabanchel;San Isidro;No;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
6;Piso en calle Paulina Odiaga, San Isidro, Madrid;220000;2;60.0;Madrid;Carabanchel;San Isidro;No;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
7;Piso en calle Valentin Llaguno, 32, San Isidro, Madrid;450000;2;109.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
8;Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;355000;1;79.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
9;Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;495000;2;117.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;16.328;74.456;93.505;56.596;46.484;7.079;544.841;363.724;330.208;203442;2065860;2338583;16100.0;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253;1533221;724030;660976;141824;47.222807410021126;43.110288732022326;9.250068972444286
