;Vivienda;Precio (€);Numero habitaciones;Metros cuadrados (m²);Municipio;Zona;Barrio;Garaje;Descripcion;Regimen;Planta;Interior/Exterior;Ascensor;1 persona;2 personas;3 personas;4 personas;5 o más personas;Población;m2;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
0;Piso en San Isidro, Madrid;245000;2;65.0;Madrid;Carabanchel;San Isidro;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
1;Piso en calle de Pablo Montesinos, San Isidro, Madrid;240000;3;79.0;Madrid;Carabanchel;San Isidro;No;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
2;Piso en calle Soldado José María Rey, San Isidro, Madrid;199000;1;88.0;Madrid;Carabanchel;San Isidro;No;Planta 2ª exterior con ascensor;Compra;2ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
3;Piso en calle Alcaudón, San Isidro, Madrid;237000;3;67.0;Madrid;Carabanchel;San Isidro;No;Planta 1ª exterior con ascensor;Compra;1ª;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
4;Piso en San Isidro, Madrid;250000;2;73.0;Madrid;Carabanchel;San Isidro;No;Planta 1ª exterior sin ascensor;Compra;1ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
5;Piso en San Isidro, Madrid;228000;3;107.0;Madrid;Carabanchel;San Isidro;No;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
6;Piso en calle Paulina Odiaga, San Isidro, Madrid;220000;2;60.0;Madrid;Carabanchel;San Isidro;No;Planta 2ª exterior sin ascensor;Compra;2ª;Exterior;No;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
7;Piso en calle Valentin Llaguno, 32, San Isidro, Madrid;450000;2;109.0;Madrid;Carabanchel;San Isidro;Garaje incluido;Bajo exterior con ascensor;Compra;Bajo;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
8;Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;355000;1;79.0;Madrid;Carabanchel;San Isidro;Garaje incluido; exterior con ascensor;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
9;Ático en calle Valentin Llaguno, 32, San Isidro, Madrid;495000;2;117.0;Madrid;Carabanchel;San Isidro;Garaje incluido; exterior con ascensor;Compra;Indeterminado;Exterior;Si;397.447;380.686;251.859;190.474;102.389;3.273.049;606.0;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.0;13.301;793.0
