;Municipio;En alquiler;En propiedad;Otro régimen de tenencia;Total (régimen de tenencia);%propiedad;%alquiler;Proporcion Propiedad/Alquiler
7;Alacant/Alicante;21801;104009;10054;135864;76.55375964199493;16.046193252075604;4.770836200174304
17;Barcelona;208468;409684;53025;671177;61.039636340339435;31.060063142807337;1.9652128863902374
20;Bilbao;21483;122697;5281;149461;82.09298746830277;14.373649313198761;5.711353162966066
34;A Coruña;24679;69246;10712;104637;66.17735600217897;23.585347439242334;2.805867336601969
39;Córdoba;13264;102031;7373;122668;83.17654155933087;10.812925946457105;7.6923250904704465
44;Elche/Elx;10843;72774;4881;88498;82.23236683314877;12.252254288232503;6.711611177718344
53;Gijón;18553;90297;11499;120349;75.0292898154534;15.415998471113179;4.866975691262868
55;Granada;18166;70361;9789;98316;71.56617437650027;18.477155295170675;3.8732247054937794
59;L´Hospitalet de Llobregat;27916;66941;6952;101809;65.75155438124331;27.419972693966155;2.3979438314944836
73;Madrid;317766;927975;77114;1322855;70.1494116891118;24.02122681624214;2.920309284190253
83;Murcia;26137;121850;15583;163570;74.4941003851562;15.979091520449959;4.661973447603015
84;Málaga;29366;174332;14547;218245;79.8790350294394;13.455520172283443;5.936525233262957
91;Palma;39403;104815;12883;157101;66.71822585470494;25.081317114467762;2.660076643910362
92;Las Palmas de Gran Canaria;31685;94443;17067;143195;65.95411850972451;22.1271692447362;2.9806848666561465
124;Sevilla;37015;210473;19100;266588;78.95066544630666;13.884720992692845;5.686154261785762
140;Valladolid;18622;96543;12020;127185;75.90753626606912;14.641663718205763;5.1843518419074215
141;Valencia;55865;242186;25120;323171;74.94051137014151;17.28651395081861;4.3352009308153585
142;Vigo;22106;81984;9992;114082;71.86409775424694;19.377290019459686;3.708676377454085
146;Vitoria-Gasteiz;16237;88571;2357;107165;82.64918583492745;15.151402043577662;5.454886986512287
149;Zaragoza;50140;213969;15945;280054;76.4027651810008;17.903690002642346;4.267431192660551
