;Total viviendas en municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda no principal Total;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;Municipio
0;187658;350;1752;3098;2582;3395;2703;135864;51794;57540;60375;55863;Alacant/Alicante
1;808751;35051;75201;85023;23495;11007;14183;671177;137574;280748;205859;78184;Barcelona
2;165685;3882;8025;9342;7491;4994;0;149461;16224;72150;37791;22010;Bilbao
3;136205;1636;2530;5276;3534;3072;347;104637;31568;39204;42141;38465;A Coruña
4;155400;6;819;1792;3875;6008;683;122668;32732;41797;53800;46620;Córdoba
5;116080;169;1831;1903;1520;3140;420;88498;27582;24553;41432;41112;Elche/Elx
6;148955;1805;2071;1845;1417;4255;1864;120349;28606;47333;46569;41796;Gijón
7;141257;465;4588;2640;2475;3083;1318;98316;42941;34872;59137;32679;Granada
8;110488;98;1016;3786;1964;2907;452;101809;8679;53403;36413;10449;L´Hospitalet de Llobregat
9;1533221;16328;74456;93505;56596;46484;7079;1322855;210366;544841;363724;330208;Madrid
10;219740;155;1771;3707;5924;5463;13937;163570;56170;38314;54387;96082;Murcia
11;261857;2091;2645;3381;3505;6349;6186;218245;43612;58536;102094;77070;Málaga
12;186482;3858;7836;9238;6420;4349;5693;157101;29381;46347;58055;44686;Palma
13;175181;536;2422;5360;4824;1432;8529;143195;31986;49510;53839;48729;Las Palmas de Gran Canaria
14;327393;242;5411;10937;7737;8620;2447;266588;60805;93714;124404;73881;Sevilla
15;159363;802;2097;2237;2534;2185;279;127185;32178;53527;52681;43021;Valladolid
16;414988;5342;12000;23584;11660;5024;2237;323171;91817;132432;140102;82607;Valencia
17;144293;843;5620;5085;5394;2407;2295;114082;30211;30190;48890;43569;Vigo
18;119853;1043;852;998;1793;7273;0;107165;12688;29037;42025;36832;Vitoria-Gasteiz
19;338961;965;3227;11897;9268;12075;6588;280054;58907;97331;108966;88644;Zaragoza
